Customer ID,network_age,Customer tenure in month,Total Spend in Months 1 and 2 of 2017,Total SMS Spend,Total Data Spend,Total Data Consumption,Total Unique Calls,Total Onnet spend ,Total Offnet spend,Total Call centre complaint calls,Network type subscription in Month 1,Network type subscription in Month 2,Most Loved Competitor network in in Month 1,Most Loved Competitor network in in Month 2,Churn Status
ADF0330,3713,123.77,726.14,2.42,92.5,13224193.42,38,1320,6685,1,2G,3G,PQza,PQza,0
ADF0332,185,6.17,746.098,105.94,2.5,7210.998,33,1296,4609,2,2G,2G,PQza,PQza,0
ADF0341,1426,47.53,1158.8744,12.89,2.5,12780320.19,671,5634,7794,1,2G,2G,PQza,PQza,0
ADF0344,368,12.27,1224.0612,0,52.5,1758480.214,16,502,3681,1,2G,2G,ToCall,PQza,0
ADF0347,371,12.37,13.402,0,1.25,29283.8877,22,132,0,1,2G,2G,PQza,PQza,1
ADF0350,1586,52.87,15.682,0,11.25,1031.042,3,0,192,1,2G,2G,PQza,PQza,1
ADF0352,2172,72.40,16.642,0,8.75,131274.5869,5,0,203,2,2G,2G,PQza,PQza,1
ADF0353,204,6.80,18.522,9.79,0,19.0918,2,0,395,1,2G,2G,ToCall,PQza,1
ADF0362,117,3.90,24.97,0,1.25,2305.0537,15,1224,358,1,2G,2G,Uxaa,PQza,1
ADF0366,210,7.00,30.7884,7.17,0,702.4287,9,348,1547,1,2G,2G,PQza,PQza,1
ADF0372,1433,47.77,37.0024,14.82,13.75,2441.9629,2,114,179,1,2G,3G,PQza,PQza,1
ADF0376,124,4.13,40.81,0,15,9123.917,15,348,1635,1,2G,3G,PQza,PQza,1
ADF0378,1263,42.10,41.42,25.01,0,1134.0234,1,0,179,1,2G,3G,PQza,PQza,1
ADF0379,635,21.17,41.48,16.09,2.5,9.8418,3,114,358,1,2G,2G,PQza,PQza,1
ADF0383,2793,93.10,42.48,11.95,1.25,332.3574,7,0,2330,1,2G,3G,PQza,PQza,1
ADF0385,929,30.97,42.89,23.9,0,21.0293,8,24,1157,1,2G,3G,ToCall,PQza,1
ADF0388,213,7.10,43.34,0,31.25,5844.3848,1,0,179,2,2G,2G,PQza,PQza,1
ADF0396,911,30.37,48.364,30.73,1.25,20.9238,1,0,179,1,2G,2G,PQza,PQza,1
ADF0400,1387,46.23,53.356,7.17,17.5,823.9795,4,0,1171,1,2G,2G,Mango,PQza,1
ADF0407,460,15.33,56.06,33.46,0,337.5703,4,0,586,1,2G,2G,Mango,PQza,1
ADF0408,1028,34.27,56.122,7.17,42.5,3944.5361,2,0,358,1,2G,2G,PQza,PQza,1
ADF0414,906,30.20,57.9,7.17,21.25,69978.7031,2,0,905,1,2G,2G,Mango,PQza,1
ADF0416,1597,53.23,59.65,0.04,0,203.6465,79,1932,1254,1,2G,2G,PQza,PQza,1
ADF0418,1399,46.63,60.292,25.65,3.75,56.3018,7,558,713,1,2G,2G,Uxaa,PQza,1
ADF0422,2490,83.00,60.69,18.95,25,1049.9375,1,0,179,2,2G,3G,PQza,PQza,1
ADF0425,485,16.17,61.606,23.9,1.25,17.4717,5,12,1816,1,2G,2G,PQza,PQza,1
ADF0426,1258,41.93,62.658,20.88,1.25,35.6611,7,12,1601,2,2G,2G,Uxaa,PQza,1
ADF0429,787,26.23,65.4384,16.73,3.75,75.5009,12,874,2151,1,2G,2G,PQza,PQza,1
ADF0430,2856,95.20,66.232,14.57,11.25,502.3643,24,168,2234,1,2G,2G,Uxaa,PQza,1
ADF0434,121,4.03,69.208,11.95,0,939.7178,18,0,3560,1,2G,2G,PQza,PQza,1
ADF0439,105,3.50,75.4,10.5,10,2401224.12,22,2532,1522,2,2G,3G,Uxaa,PQza,1
ADF0441,399,13.30,76.278,32.82,5,36991.4678,14,114,3133,1,2G,2G,Weematel,PQza,1
ADF0445,1278,42.60,79.5704,20.25,5,42052.4189,12,36,1373,1,2G,2G,PQza,PQza,1
ADF0450,3445,114.83,85.088,28.68,21.25,1541.9365,4,24,358,2,2G,2G,Uxaa,PQza,1
ADF0462,125,4.17,104.272,9.56,41.25,42023.1319,5,0,683,1,2G,2G,PQza,PQza,1
ADF0465,100,3.33,112.56,24.51,20,336878.9902,3,0,537,2,2G,3G,PQza,PQza,1
ADF0467,1223,40.77,115.272,7.17,55,164326.9375,2,0,358,1,2G,2G,PQza,PQza,1
ADF0477,3651,121.70,133.1844,32.18,0,107.125,7,1004,1398,2,2G,3G,PQza,PQza,1
ADF0478,968,32.27,133.894,18.48,23.75,154994.9707,7,12,1168,1,2G,3G,PQza,PQza,1
ADF0485,311,10.37,141.42,41.63,0,164.4902,5,0,867,2,2G,3G,ToCall,PQza,1
ADF0486,1915,63.83,141.462,19.74,0,2937.3359,25,378,4457,1,2G,2G,Weematel,PQza,1
ADF0492,3576,119.20,153.734,7.17,7.5,289.2783,37,2272,2402,1,2G,2G,PQza,PQza,1
ADF0493,1606,53.53,154.6272,49.85,50,2305.1553,10,0,1829,1,2G,2G,Mango,PQza,1
ADF0499,224,7.47,167.282,16.11,37.5,163534.6055,12,12,1790,1,2G,2G,PQza,PQza,1
ADF0508,112,3.73,195.372,0,2.5,1015036.084,13,0,2268,2,2G,2G,ToCall,PQza,1
ADF0512,120,4.00,201.63,5.25,62.5,175380.3223,20,0,3322,5,2G,3G,PQza,PQza,1
ADF0518,212,7.07,209.9748,16.73,2.5,128786.4131,21,240,4369,2,2G,2G,PQza,PQza,1
ADF0526,117,3.90,607.82,25.37,112.5,1464461.794,42,804,6593,1,2G,3G,Mango,PQza,1
ADF0528,594,19.80,656.504,313.8,0,25.2627,78,6036,14865,2,2G,2G,Mango,PQza,1
ADF0538,343,11.43,825.226,25.93,65,965185.4366,45,5287,10141,1,2G,2G,Uxaa,PQza,1
ADF0545,1310,43.67,982.206,59.84,50,1163532.41,52,4770,14055,1,2G,2G,Mango,PQza,1
ADF0559,297,9.90,1505.7772,54.52,150,569540.8233,170,16159,27519,1,2G,3G,Zintel,PQza,1
ADF0581,1348,44.93,177.47,0,2.5,585569.2217,2,0,610,2,2G,2G,ToCall,ToCall,0
ADF0586,1837,61.23,378.58,16.15,60,42310.1328,34,2799,7019,1,2G,2G,ToCall,ToCall,0
ADF0587,420,14.00,433.874,41.58,1.25,0.6777,71,60,18656,1,2G,2G,Mango,ToCall,0
ADF0595,1443,48.10,878.83,60.56,2.5,171.8359,50,14497,8664,1,2G,2G,ToCall,ToCall,0
ADF0598,1073,35.77,1172.3412,23.95,2.5,32489.2959,166,9462,66251,1,2G,2G,ToCall,ToCall,0
ADF0604,617,20.57,62.582,29.79,5,87.2539,11,546,1132,1,2G,2G,ToCall,ToCall,1
ADF0606,941,31.37,69.998,9.56,2.5,28.8105,22,192,3438,1,2G,2G,Zintel,ToCall,1
ADF0608,2085,69.50,75.158,20.7,1.25,47.126,16,24,2440,1,2G,2G,ToCall,ToCall,1
ADF0609,396,13.20,85.4004,11.95,27.5,1819.7568,21,108,2657,1,2G,2G,PQza,ToCall,1
ADF0612,112,3.73,88.78,0,0,2771.9062,13,120,5711,1,2G,2G,ToCall,ToCall,1
ADF0614,1766,58.87,96.996,14.34,3.75,87.2783,19,2832,1536,1,2G,2G,ToCall,ToCall,1
ADF0623,303,10.10,211.8048,29.92,1.25,0.9883,23,12,5390,1,2G,2G,ToCall,ToCall,1
ADF0629,435,14.50,790.022,80.46,3.75,536495.0674,81,0,30847,1,2G,2G,Weematel,ToCall,1
ADF0633,393,13.10,1210.1728,7.17,33.75,1685.6894,334,0,62189,1,2G,2G,ToCall,ToCall,1
ADF1028,2557,85.23,14.21,0,0,41668.7041,3,24,490,2,2G,2G,Uxaa,Uxaa,0
ADF1033,121,4.03,42.04,0.01,20,8001.2422,19,156,1329,1,2G,3G,Uxaa,Uxaa,0
ADF1040,1469,48.97,84.422,12.42,1.25,0.125,125,2634,3460,1,2G,2G,Uxaa,Uxaa,0
ADF1047,1284,42.80,113.388,10.5,8.75,22865.5576,64,946,2987,2,2G,2G,Uxaa,Uxaa,0
ADF1052,1423,47.43,136.3,0,10,287861.3066,8,12,1540,6,2G,2G,Zintel,Uxaa,0
ADF1055,2260,75.33,150.22,0,1.25,1.0791,162,2325,1874,4,2G,2G,Uxaa,Uxaa,0
ADF1061,936,31.20,170.99,11.88,0,9810.959,43,5403,5725,1,2G,2G,Zintel,Uxaa,0
ADF1069,114,3.80,183.84,1.76,0,6509.1582,44,3012,3534,2,2G,3G,PQza,Uxaa,0
ADF1077,138,4.60,223.7996,74.24,38.75,21134.9131,51,4488,4607,1,2G,2G,Weematel,Uxaa,0
ADF1078,109,3.63,224.6564,120.75,0,856.3242,16,2700,2735,2,2G,2G,ToCall,Uxaa,0
ADF1080,4837,161.23,229.82,24.76,77.5,128160.6065,46,789,4047,1,2G,2G,PQza,Uxaa,0
ADF1084,142,4.73,241.588,0,0,10972.0264,37,6816,5400,1,2G,2G,Weematel,Uxaa,0
ADF1086,2248,74.93,256.69,16.06,1.25,4795.3906,69,1722,2945,1,2G,2G,Uxaa,Uxaa,0
ADF1089,1159,38.63,280.126,1.75,3.75,13.1885,28,4595,8831,1,2G,2G,ToCall,Uxaa,0
ADF1090,3962,132.07,283.568,0.01,11.25,7992730.518,9,60,788,7,2G,3G,Uxaa,Uxaa,0
ADF1094,931,31.03,296.42,1.75,26.25,36708.586,55,540,1641,1,2G,2G,Uxaa,Uxaa,0
ADF1098,3183,106.10,307.532,0.01,3.75,50.0381,43,7668,10038,1,2G,2G,ToCall,Uxaa,0
ADF1102,122,4.07,324.722,84,0,70.001,39,13980,5287,2,2G,2G,PQza,Uxaa,0
ADF1103,3704,123.47,332.854,9.62,1.25,22.04,91,4744,6083,3,2G,2G,Uxaa,Uxaa,0
ADF1106,2051,68.37,342.37,2.62,0,547.8291,315,4853,0,1,2G,2G,ToCall,Uxaa,0
ADF1107,227,7.57,343.2808,65.41,43.75,176679.2842,29,906,1021,2,2G,2G,Uxaa,Uxaa,0
ADF1108,110,3.67,352.5232,28.27,21.25,53194.5898,306,4320,4174,3,2G,2G,Uxaa,Uxaa,0
ADF1109,3019,100.63,354.3724,8.93,3.75,157332.0869,141,4057,6619,1,2G,2G,Mango,Uxaa,0
ADF1114,1499,49.97,361.7256,35.32,0,3288.1631,142,8124,4136,1,2G,2G,Mango,Uxaa,0
ADF1124,306,10.20,399.5248,1.75,28.75,307292.1416,116,4140,1666,1,2G,2G,ToCall,Uxaa,0
ADF1132,1061,35.37,423.0128,4.79,2.5,381433.8233,351,9552,10846,2,2G,2G,ToCall,Uxaa,0
ADF1136,2316,77.20,426.628,0,102.3,287544.4825,36,6335,4508,3,2G,2G,PQza,Uxaa,0
ADF1139,2148,71.60,437.7,0,0,30611.7959,523,0,0,3,2G,2G,Zintel,Uxaa,0
ADF1143,3701,123.37,442.0844,1.75,5,292.5508,165,3353,6334,1,2G,2G,ToCall,Uxaa,0
ADF1146,745,24.83,450.4512,32.15,42.47,118434.7422,176,8753,978,1,2G,2G,PQza,Uxaa,0
ADF1152,1487,49.57,466.2008,0,3.75,13.9531,468,12856,7517,1,2G,2G,PQza,Uxaa,0
ADF1153,1625,54.17,466.73,2.92,0,824.752,40,4195,8903,2,2G,2G,Weematel,Uxaa,0
ADF1165,2032,67.73,485.108,46.52,1.25,4.2793,93,8907,2653,1,2G,2G,Uxaa,Uxaa,0
ADF1172,747,24.90,495.03,79.2,0,58128.7901,460,8700,26663,2,2G,2G,Uxaa,Uxaa,0
ADF1174,2237,74.57,499.6376,5.25,30,5772188.781,71,609,17784,5,2G,3G,PQza,Uxaa,0
ADF1175,1383,46.10,503.3184,24.5,27.5,955695.5263,53,1734,11209,1,2G,2G,Zintel,Uxaa,0
ADF1176,3196,106.53,507.4964,14.37,86.21,353274.6308,23,2112,2469,2,2G,2G,PQza,Uxaa,0
ADF1179,100,3.33,514.4684,0,0,91824.9209,141,992,609,1,2G,2G,Weematel,Uxaa,0
ADF1181,1654,55.13,516.354,41.14,1.86,4175.2608,92,18510,477,1,2G,2G,Mango,Uxaa,0
ADF1185,2051,68.37,523.2776,49.88,18.75,168358.9795,73,7331,5462,1,2G,2G,Uxaa,Uxaa,0
ADF1196,411,13.70,536.1508,34.52,6.55,997233.5264,112,3172,12098,1,2G,3G,PQza,Uxaa,0
ADF1198,4151,138.37,541.682,0,0,15912.5723,162,5450,4613,5,2G,2G,PQza,Uxaa,0
ADF1203,770,25.67,550.072,7.74,5,52776.748,182,5123,4254,1,2G,2G,PQza,Uxaa,0
ADF1207,1758,58.60,556.3616,5.25,0,190.5137,193,10655,10253,1,2G,2G,Weematel,Uxaa,0
ADF1209,3879,129.30,565.4868,11.96,1.25,117888.5762,66,0,0,11,2G,3G,Weematel,Uxaa,0
ADF1211,3340,111.33,566.66,0,0,287165.4756,210,502,920,1,2G,3G,0,Uxaa,0
ADF1218,110,3.67,589.47,130.46,11.25,727.7734,239,2904,8876,4,2G,2G,PQza,Uxaa,0
ADF1220,133,4.43,596.63,0,0,1150.4736,166,2304,1512,2,2G,2G,Uxaa,Uxaa,0
ADF1241,248,8.27,643.8852,14,5,230.1465,263,4722,4973,1,2G,2G,Mango,Uxaa,0
ADF1242,1856,61.87,646.1308,3.5,67.5,95443.8779,73,13961,1039,1,2G,2G,Uxaa,Uxaa,0
ADF1248,503,16.77,664.306,0,5,1218030.941,691,765,2675,2,2G,2G,PQza,Uxaa,0
ADF1258,1167,38.90,680.2124,1.75,20,22695.707,544,12642,5095,1,2G,2G,ToCall,Uxaa,0
ADF1259,3805,126.83,681.936,81.47,3.75,3624.375,117,39261,3657,2,2G,2G,Uxaa,Uxaa,0
ADF1266,1883,62.77,712.064,19.24,26.25,1863.6113,150,13904,5377,1,2G,3G,Weematel,Uxaa,0
ADF1267,2658,88.60,713.45,1.22,0,391293.7637,392,0,191,3,2G,2G,ToCall,Uxaa,0
ADF1268,2195,73.17,715.7564,21,0,109143.5322,109,2175,9900,1,2G,2G,Uxaa,Uxaa,0
ADF1269,3667,122.23,716.1,24.12,1.25,0.2969,89,34344,8592,4,2G,2G,0,Uxaa,0
ADF1271,143,4.77,721.938,48.08,1.25,0.8584,225,24774,2160,1,2G,2G,Uxaa,Uxaa,0
ADF1274,1628,54.27,729.996,21.51,0.62,48.2852,157,6847,31246,1,2G,2G,Mango,Uxaa,0
ADF1289,2667,88.90,800.4288,6.89,196.25,1024072.837,16,1506,1611,2,2G,2G,Uxaa,Uxaa,0
ADF1293,141,4.70,810.38,49.58,56.25,210613.8564,78,2988,1653,1,2G,2G,Weematel,Uxaa,0
ADF1301,2588,86.27,827.75,18.22,58.75,488987.1231,21,1932,2606,2,2G,2G,Zintel,Uxaa,0
ADF1306,108,3.60,836.6616,3.5,15,65203.1094,36,3924,2556,1,2G,2G,Mango,Uxaa,0
ADF1309,1693,56.43,840.04,12.25,68.75,66257.3985,76,24903,5055,6,2G,2G,Uxaa,Uxaa,0
ADF1318,2194,73.13,866.0188,81.78,3.75,64.7021,345,7422,42442,1,2G,2G,Uxaa,Uxaa,0
ADF1319,325,10.83,866.35,4.17,3.75,277.9688,289,36300,4567,2,2G,2G,Mango,Uxaa,0
ADF1320,1355,45.17,875.4,0,0,144766.4629,888,0,0,3,2G,2G,Weematel,Uxaa,0
ADF1323,3705,123.50,875.4,0,0,165154.3701,633,0,0,1,2G,2G,ToCall,Uxaa,0
ADF1336,2180,72.67,883.17,0,0,24901.0264,712,0,179,2,2G,2G,Weematel,Uxaa,0
ADF1338,2398,79.93,885.8196,17.35,8.75,1237.3144,619,13888,7960,1,2G,2G,ToCall,Uxaa,0
ADF1340,3651,121.70,889.138,1.2,0,6065.1719,313,0,895,2,2G,2G,PQza,Uxaa,0
ADF1347,3689,122.97,900.98,0,0,73951.0078,723,1733,179,4,2G,2G,Weematel,Uxaa,0
ADF1348,1417,47.23,903.27,0,22.5,2166780.011,660,0,537,1,2G,3G,Weematel,Uxaa,0
ADF1352,1048,34.93,909.98,13.71,0,54.04,786,0,179,6,2G,2G,ToCall,Uxaa,0
ADF1355,149,4.97,911.2984,134.59,67.5,13956.0303,226,29724,23748,1,2G,2G,PQza,Uxaa,0
ADF1359,3899,129.97,916.92,4.78,0,366469.0478,1170,0,358,1,2G,2G,Uxaa,Uxaa,0
ADF1360,3279,109.30,917.59,0,0,1846070.15,1073,0,2151,1,2G,2G,ToCall,Uxaa,0
ADF1362,3341,111.37,919.066,5.99,0,200704.8692,502,0,1367,3,2G,2G,Zintel,Uxaa,0
ADF1373,1915,63.83,940.674,0,21.25,248445.0889,122,19614,12871,1,2G,2G,PQza,Uxaa,0
ADF1383,170,5.67,958.63,48.64,15,23427.8515,119,17184,3195,1,2G,2G,Uxaa,Uxaa,0
ADF1385,3561,118.70,961.8212,58.48,121.25,435237.2461,61,2978,5784,1,2G,2G,Uxaa,Uxaa,0
ADF1387,1345,44.83,963.08,0,0,14.7383,788,2940,1458,4,2G,2G,Weematel,Uxaa,0
ADF1389,368,12.27,964.12,20.23,17.5,2165091.16,64,3474,6085,1,2G,2G,Zintel,Uxaa,0
ADF1397,4632,154.40,974.28,48.93,120,365654.5869,92,20988,21153,1,2G,2G,Weematel,Uxaa,0
ADF1405,1145,38.17,992.4124,74.09,26.25,1104.9473,131,35499,26258,1,2G,2G,ToCall,Uxaa,0
ADF1407,2793,93.10,996.714,8.64,3.72,580.9766,253,42736,16313,3,2G,2G,ToCall,Uxaa,0
ADF1416,1177,39.23,1018.358,7,0,390166.9218,420,610,2471,2,2G,2G,Zintel,Uxaa,0
ADF1417,3515,117.17,1021.68,0.6,1.25,44264.4648,753,1212,179,1,2G,2G,PQza,Uxaa,0
ADF1420,3210,107.00,1024.482,0.09,590,2718053.559,12,813,860,2,2G,2G,PQza,Uxaa,0
ADF1421,3744,124.80,1026.798,1.76,36.25,355.0362,1253,20376,8640,3,2G,2G,PQza,Uxaa,0
ADF1422,3955,131.83,1029.14,24.5,17.5,590660.2422,339,15406,6346,1,2G,3G,Mango,Uxaa,0
ADF1423,1770,59.00,1032.65,0,0,5080.3379,482,1231,7826,1,2G,2G,Zintel,Uxaa,0
ADF1428,3704,123.47,1045.3784,1.75,98.75,192469.0263,223,24828,17867,1,2G,3G,ToCall,Uxaa,0
ADF1444,1097,36.57,1078.81,16.38,0,1457.3662,757,15225,9692,2,2G,2G,Weematel,Uxaa,0
ADF1455,148,4.93,1100.54,23.61,41.25,602549.9453,334,12432,16804,5,2G,2G,PQza,Uxaa,0
ADF1460,2542,84.73,1111.346,53.37,1.25,1024007.231,466,9179,7889,1,2G,2G,PQza,Uxaa,0
ADF1461,3048,101.60,1113.61,0.6,0,46252.5127,678,5019,539,1,2G,2G,PQza,Uxaa,0
ADF1464,2760,92.00,1121.27,5.25,1.25,1972225.73,213,14663,3201,11,2G,2G,ToCall,Uxaa,0
ADF1471,1678,55.93,1140.37,17.94,0,1024.8378,776,3050,11119,2,2G,2G,ToCall,Uxaa,0
ADF1473,4102,136.73,1143.9,1.75,0,5690.0996,571,1745,21546,1,2G,2G,Mango,Uxaa,0
ADF1476,1913,63.77,1146.21,0,0,1.04,522,4195,17316,2,2G,2G,ToCall,Uxaa,0
ADF1479,3097,103.23,1152.33,15.75,0,124973.1816,510,10014,14689,11,2G,2G,Uxaa,Uxaa,0
ADF1480,1872,62.40,1154.802,12.35,25,27260.4551,539,21012,35298,1,2G,3G,Mango,Uxaa,0
ADF1486,630,21.00,1166.56,6.53,35,163234.29,571,3036,8571,2,2G,2G,Weematel,Uxaa,0
ADF1507,4038,134.60,1222.93,13.63,0,274207.4853,732,0,2752,1,2G,2G,PQza,Uxaa,0
ADF1510,2159,71.97,1229.14,57.46,0,170993.0713,659,348,1629,5,2G,2G,ToCall,Uxaa,0
ADF1514,3621,120.70,1235.29,45.35,0,857.1758,561,900,6193,2,2G,2G,0,Uxaa,0
ADF1516,3691,123.03,1245.89,44.74,7.13,1137.2705,636,14665,8125,2,2G,2G,PQza,Uxaa,0
ADF1522,463,15.43,1260.0544,14.02,343.75,1903109.87,46,372,788,2,2G,2G,Weematel,Uxaa,0
ADF1550,110,3.67,13.85,0.01,10,693.2861,3,240,120,3,2G,2G,Uxaa,Uxaa,1
ADF1551,91,3.03,15.92,0,0,30.2803,2,348,0,1,2G,2G,Uxaa,Uxaa,1
ADF1552,3441,114.70,16.122,1.75,8.75,271.1836,13,120,179,1,2G,2G,Uxaa,Uxaa,1
ADF1558,659,21.97,30.534,8.92,1.25,2.0215,33,288,1246,1,2G,2G,Uxaa,Uxaa,1
ADF1565,1836,61.20,41.08,11.96,2.5,72.835,12,60,1920,1,2G,2G,Mango,Uxaa,1
ADF1568,1324,44.13,43.63,0.01,5,13.1807,35,366,374,1,2G,3G,Uxaa,Uxaa,1
ADF1569,185,6.17,43.92,7.17,0,5275.4639,10,24,1548,1,2G,2G,Uxaa,Uxaa,1
ADF1571,2032,67.73,49.06,18.48,0,13.6904,4,102,537,1,2G,2G,Uxaa,Uxaa,1
ADF1573,2348,78.27,52.672,4.1,13.75,104.8828,56,660,0,1,2G,2G,Uxaa,Uxaa,1
ADF1574,3667,122.23,54.8204,20.23,0,15595.75,53,540,1209,1,2G,2G,Mango,Uxaa,1
ADF1575,2285,76.17,59.2024,0,32.5,519.3096,33,360,611,3,2G,2G,PQza,Uxaa,1
ADF1577,1532,51.07,60.064,0.01,0,3.2871,82,3024,2310,2,2G,2G,PQza,Uxaa,1
ADF1580,2122,70.73,64.43,0.12,26.25,450370.3086,48,618,580,3,2G,3G,PQza,Uxaa,1
ADF1584,1433,47.77,70.27,1.75,0,4945.584,16,1304,1649,1,2G,2G,Uxaa,Uxaa,1
ADF1586,803,26.77,71.614,16.27,0,2583.5283,2,358,0,1,2G,2G,Uxaa,Uxaa,1
ADF1587,2261,75.37,72.616,13.7,1.25,58.3242,8,335,0,1,2G,2G,Uxaa,Uxaa,1
ADF1599,1042,34.73,86.89,23.26,5,3.9551,11,3816,444,1,2G,2G,Uxaa,Uxaa,1
ADF1600,3837,127.90,87.596,26.29,2.5,12.6611,28,1949,895,2,2G,3G,PQza,Uxaa,1
ADF1608,107,3.57,104.91,29.75,0,669.2129,27,2724,2244,1,2G,2G,Mango,Uxaa,1
ADF1609,1967,65.57,107.642,26.29,0,51557.2988,25,3507,705,1,2G,3G,PQza,Uxaa,1
ADF1610,3813,127.10,107.894,19.12,26.25,7904.5889,60,263,24,1,2G,2G,Uxaa,Uxaa,1
ADF1618,2083,69.43,126.918,0,1.25,0.1016,229,5955,521,2,2G,2G,Mango,Uxaa,1
ADF1619,1316,43.87,127.79,43.02,17.5,669.8418,9,60,788,1,2G,2G,Uxaa,Uxaa,1
ADF1622,111,3.70,129.4,0,40,27605.7383,36,3941,2629,5,2G,3G,Uxaa,Uxaa,1
ADF1627,1866,62.20,139.82,14.81,6.25,15420.0967,41,1556,3312,1,2G,2G,Mango,Uxaa,1
ADF1633,1059,35.30,149.1424,16.56,12.5,126593.5254,90,852,3789,1,2G,2G,PQza,Uxaa,1
ADF1636,200,6.67,154.11,26.9,1.25,8.5322,92,1458,6832,2,2G,2G,Weematel,Uxaa,1
ADF1637,224,7.47,157.1348,10.5,11.25,9.7246,132,1344,5637,3,2G,2G,Uxaa,Uxaa,1
ADF1640,525,17.50,170.04,31.2,23.75,77788.874,82,708,4982,7,2G,2G,Mango,Uxaa,1
